/home/yubin/miniconda3/envs/torch/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
classify loss is 0.49611247, angle loss is 0.00988722, iou loss is 0.67264754
Epoch is [41/600], mini-batch is [22/27], time consumption is 0.20163631, batch_loss is 1.26763225
classify loss is 0.32719874, angle loss is 0.00353289, iou loss is 0.66005927
Epoch is [41/600], mini-batch is [23/27], time consumption is 0.20071292, batch_loss is 1.02258694
classify loss is 0.37498331, angle loss is 0.01710858, iou loss is 0.58973384
Epoch is [41/600], mini-batch is [24/27], time consumption is 0.20391774, batch_loss is 1.13580298
classify loss is 0.49772269, angle loss is 0.01632109, iou loss is 0.79371852
Epoch is [41/600], mini-batch is [25/27], time consumption is 0.20631170, batch_loss is 1.45465207
classify loss is 0.43945605, angle loss is 0.00514628, iou loss is 0.62340558
Epoch is [41/600], mini-batch is [26/27], time consumption is 0.20167375, batch_loss is 1.11432433
classify loss is 0.36025429, angle loss is 0.00556930, iou loss is 0.52380860
Epoch is [41/600], mini-batch is [27/27], time consumption is 0.20085025, batch_loss is 0.93975592
epoch_loss is 1.06524783, epoch_time is 20.37371993
Mon May 23 16:27:43 2022
==================================================
classify loss is 0.40690690, angle loss is 0.01438074, iou loss is 0.59191728
Epoch is [42/600], mini-batch is [1/27], time consumption is 0.20781732, batch_loss is 1.14263153
classify loss is 0.44101924, angle loss is 0.00309770, iou loss is 0.59793705
Epoch is [42/600], mini-batch is [2/27], time consumption is 0.20460248, batch_loss is 1.06993330
classify loss is 0.34800708, angle loss is 0.00369126, iou loss is 0.59864134
Epoch is [42/600], mini-batch is [3/27], time consumption is 0.20291209, batch_loss is 0.98356104
classify loss is 0.31466335, angle loss is 0.00852769, iou loss is 0.50827581
Epoch is [42/600], mini-batch is [4/27], time consumption is 0.20082498, batch_loss is 0.90821606
classify loss is 0.41327912, angle loss is 0.00559459, iou loss is 0.61205506
Epoch is [42/600], mini-batch is [5/27], time consumption is 0.20717335, batch_loss is 1.08127999
classify loss is 0.32171226, angle loss is 0.00484128, iou loss is 0.55485260
Epoch is [42/600], mini-batch is [6/27], time consumption is 0.20135593, batch_loss is 0.92497766
classify loss is 0.34370124, angle loss is 0.01048573, iou loss is 0.52910995
Epoch is [42/600], mini-batch is [7/27], time consumption is 0.20494699, batch_loss is 0.97766852
classify loss is 0.43019235, angle loss is 0.00243108, iou loss is 0.52479845
Epoch is [42/600], mini-batch is [8/27], time consumption is 0.20359707, batch_loss is 0.97930163
classify loss is 0.50791156, angle loss is 0.00693209, iou loss is 0.58087873
Epoch is [42/600], mini-batch is [9/27], time consumption is 0.20075440, batch_loss is 1.15811110
classify loss is 0.29928005, angle loss is 0.00531246, iou loss is 0.60476524
Epoch is [42/600], mini-batch is [10/27], time consumption is 0.20393848, batch_loss is 0.95716983
classify loss is 0.28924716, angle loss is 0.00616306, iou loss is 0.52316463
Epoch is [42/600], mini-batch is [11/27], time consumption is 0.20282054, batch_loss is 0.87404239
classify loss is 0.44690722, angle loss is 0.01359341, iou loss is 0.64838904
Epoch is [42/600], mini-batch is [12/27], time consumption is 0.20171165, batch_loss is 1.23123050
classify loss is 0.40113288, angle loss is 0.01761118, iou loss is 0.79873645
Epoch is [42/600], mini-batch is [13/27], time consumption is 0.20146012, batch_loss is 1.37598109
classify loss is 0.31553316, angle loss is 0.00624740, iou loss is 0.54574239
Epoch is [42/600], mini-batch is [14/27], time consumption is 0.20123196, batch_loss is 0.92374963
classify loss is 0.39287174, angle loss is 0.00658140, iou loss is 0.46051225
Epoch is [42/600], mini-batch is [15/27], time consumption is 0.20109534, batch_loss is 0.91919804
classify loss is 0.36962360, angle loss is 0.01408680, iou loss is 0.49297079
Epoch is [42/600], mini-batch is [16/27], time consumption is 0.20402837, batch_loss is 1.00346231
classify loss is 0.34495097, angle loss is 0.00338213, iou loss is 0.47319442
Epoch is [42/600], mini-batch is [17/27], time consumption is 0.20316124, batch_loss is 0.85196668
classify loss is 0.29091191, angle loss is 0.00527148, iou loss is 0.49449763
Epoch is [42/600], mini-batch is [18/27], time consumption is 0.20038629, batch_loss is 0.83812433
classify loss is 0.32575291, angle loss is 0.00468340, iou loss is 0.51127410
Epoch is [42/600], mini-batch is [19/27], time consumption is 0.20349169, batch_loss is 0.88386101
classify loss is 0.30730826, angle loss is 0.00285787, iou loss is 0.43646938
Epoch is [42/600], mini-batch is [20/27], time consumption is 0.20562577, batch_loss is 0.77235633
classify loss is 0.35909289, angle loss is 0.00326147, iou loss is 0.47926909
Epoch is [42/600], mini-batch is [21/27], time consumption is 0.19950366, batch_loss is 0.87097663
classify loss is 0.39175421, angle loss is 0.00277700, iou loss is 0.55418104
Epoch is [42/600], mini-batch is [22/27], time consumption is 0.20341110, batch_loss is 0.97370529
classify loss is 0.46797293, angle loss is 0.07993601, iou loss is 0.78584731
Epoch is [42/600], mini-batch is [23/27], time consumption is 0.20279884, batch_loss is 2.05318022
classify loss is 0.51127517, angle loss is 0.00561449, iou loss is 0.57595050
Epoch is [42/600], mini-batch is [24/27], time consumption is 0.20198655, batch_loss is 1.14337063
classify loss is 0.43349057, angle loss is 0.00438761, iou loss is 0.59149438
Epoch is [42/600], mini-batch is [25/27], time consumption is 0.20133400, batch_loss is 1.06886101
classify loss is 0.39107341, angle loss is 0.00325144, iou loss is 0.73343849
Epoch is [42/600], mini-batch is [26/27], time consumption is 0.20289207, batch_loss is 1.15702629
classify loss is 0.29815793, angle loss is 0.00350469, iou loss is 0.47304013
Epoch is [42/600], mini-batch is [27/27], time consumption is 0.19615769, batch_loss is 0.80624497
epoch_loss is 1.03445141, epoch_time is 20.61776996
Mon May 23 16:28:04 2022
==================================================
classify loss is 0.28330296, angle loss is 0.00268936, iou loss is 0.55554163
Epoch is [43/600], mini-batch is [1/27], time consumption is 0.21038437, batch_loss is 0.86573821
classify loss is 0.43925893, angle loss is 0.00517199, iou loss is 0.61899942
Epoch is [43/600], mini-batch is [2/27], time consumption is 0.20161510, batch_loss is 1.10997820
classify loss is 0.31206840, angle loss is 0.00682450, iou loss is 0.52513981
Epoch is [43/600], mini-batch is [3/27], time consumption is 0.20426655, batch_loss is 0.90545321
classify loss is 0.34065545, angle loss is 0.00894101, iou loss is 0.58827090
Epoch is [43/600], mini-batch is [4/27], time consumption is 0.20637107, batch_loss is 1.01833642
classify loss is 0.38931614, angle loss is 0.00384062, iou loss is 0.65881473
Epoch is [43/600], mini-batch is [5/27], time consumption is 0.20509100, batch_loss is 1.08653712
classify loss is 0.31827700, angle loss is 0.00998092, iou loss is 0.64151555
Epoch is [43/600], mini-batch is [6/27], time consumption is 0.20369077, batch_loss is 1.05960178
classify loss is 0.31454700, angle loss is 0.00725788, iou loss is 0.57732677
Epoch is [43/600], mini-batch is [7/27], time consumption is 0.20486522, batch_loss is 0.96445251
classify loss is 0.30118150, angle loss is 0.00590961, iou loss is 0.54559219
Epoch is [43/600], mini-batch is [8/27], time consumption is 0.20547819, batch_loss is 0.90586972
classify loss is 0.40561187, angle loss is 0.00667238, iou loss is 0.49305281
Epoch is [43/600], mini-batch is [9/27], time consumption is 0.20351553, batch_loss is 0.96538854
classify loss is 0.53873682, angle loss is 0.00452322, iou loss is 0.57533759
Epoch is [43/600], mini-batch is [10/27], time consumption is 0.20379901, batch_loss is 1.15930665
classify loss is 0.32492608, angle loss is 0.00365993, iou loss is 0.54295355
Epoch is [43/600], mini-batch is [11/27], time consumption is 0.20226073, batch_loss is 0.90447897
classify loss is 0.32976425, angle loss is 0.01068072, iou loss is 0.51859152
Epoch is [43/600], mini-batch is [12/27], time consumption is 0.20097256, batch_loss is 0.95516300
classify loss is 0.40610385, angle loss is 0.00882429, iou loss is 0.73828489
Epoch is [43/600], mini-batch is [13/27], time consumption is 0.20178366, batch_loss is 1.23263168
classify loss is 0.37077528, angle loss is 0.00392601, iou loss is 0.59547246
Epoch is [43/600], mini-batch is [14/27], time consumption is 0.20528984, batch_loss is 1.00550795
classify loss is 0.56218183, angle loss is 0.01567669, iou loss is 0.61769933
Epoch is [43/600], mini-batch is [15/27], time consumption is 0.20341182, batch_loss is 1.33664799
classify loss is 0.33569866, angle loss is 0.00540834, iou loss is 0.60689294
Epoch is [43/600], mini-batch is [16/27], time consumption is 0.20056224, batch_loss is 0.99667501
classify loss is 0.35359377, angle loss is 0.00969954, iou loss is 0.50260198
Epoch is [43/600], mini-batch is [17/27], time consumption is 0.20287585, batch_loss is 0.95319116
classify loss is 0.32687491, angle loss is 0.00454496, iou loss is 0.62813252
Epoch is [43/600], mini-batch is [18/27], time consumption is 0.20444655, batch_loss is 1.00045705
classify loss is 0.33968753, angle loss is 0.00551551, iou loss is 0.47573307
Epoch is [43/600], mini-batch is [19/27], time consumption is 0.20267558, batch_loss is 0.87057573
classify loss is 0.45642835, angle loss is 0.00442199, iou loss is 0.71222645
Epoch is [43/600], mini-batch is [20/27], time consumption is 0.20337868, batch_loss is 1.21287465
classify loss is 0.47023535, angle loss is 0.00565506, iou loss is 0.51109344
Epoch is [43/600], mini-batch is [21/27], time consumption is 0.20273209, batch_loss is 1.03787935
classify loss is 0.32249463, angle loss is 0.00756534, iou loss is 0.58642375
Epoch is [43/600], mini-batch is [22/27], time consumption is 0.20311093, batch_loss is 0.98457181
classify loss is 0.43553054, angle loss is 0.00351007, iou loss is 0.48224032
Epoch is [43/600], mini-batch is [23/27], time consumption is 0.20617437, batch_loss is 0.95287162
classify loss is 0.37872624, angle loss is 0.00529163, iou loss is 0.48304287
Epoch is [43/600], mini-batch is [24/27], time consumption is 0.20244503, batch_loss is 0.91468537
classify loss is 0.34294641, angle loss is 0.00403129, iou loss is 0.61235934
Epoch is [43/600], mini-batch is [25/27], time consumption is 0.20287919, batch_loss is 0.99561870
classify loss is 0.38606834, angle loss is 0.01016350, iou loss is 0.56656957
Epoch is [43/600], mini-batch is [26/27], time consumption is 0.20367646, batch_loss is 1.05427289
classify loss is 0.50280732, angle loss is 0.00825157, iou loss is 0.53393722
Epoch is [43/600], mini-batch is [27/27], time consumption is 0.19944620, batch_loss is 1.11926031
epoch_loss is 1.02103798, epoch_time is 19.80361009
Mon May 23 16:28:23 2022
==================================================
classify loss is 0.47752839, angle loss is 0.00307155, iou loss is 0.54254484
Epoch is [44/600], mini-batch is [1/27], time consumption is 0.21060586, batch_loss is 1.05078876
classify loss is 0.33223259, angle loss is 0.01049690, iou loss is 0.59511691
Epoch is [44/600], mini-batch is [2/27], time consumption is 0.20743227, batch_loss is 1.03231859
classify loss is 0.36772752, angle loss is 0.00917499, iou loss is 0.52559155
Epoch is [44/600], mini-batch is [3/27], time consumption is 0.20288730, batch_loss is 0.98506898
classify loss is 0.39316928, angle loss is 0.00440809, iou loss is 0.64426154
Epoch is [44/600], mini-batch is [4/27], time consumption is 0.20415187, batch_loss is 1.08151174
classify loss is 0.32860637, angle loss is 0.00303602, iou loss is 0.66200453
Epoch is [44/600], mini-batch is [5/27], time consumption is 0.20662951, batch_loss is 1.02097106
classify loss is 0.33006227, angle loss is 0.00201627, iou loss is 0.57121491
Epoch is [44/600], mini-batch is [6/27], time consumption is 0.20128512, batch_loss is 0.92143983
classify loss is 0.30140597, angle loss is 0.00639193, iou loss is 0.55724883
Epoch is [44/600], mini-batch is [7/27], time consumption is 0.20416307, batch_loss is 0.92257416
classify loss is 0.29000986, angle loss is 0.00581426, iou loss is 0.57068187
Epoch is [44/600], mini-batch is [8/27], time consumption is 0.20437837, batch_loss is 0.91883427
classify loss is 0.49229038, angle loss is 0.00883635, iou loss is 0.65050817
Epoch is [44/600], mini-batch is [9/27], time consumption is 0.20551205, batch_loss is 1.23116207
classify loss is 0.35222918, angle loss is 0.00410682, iou loss is 0.49220830
Epoch is [44/600], mini-batch is [10/27], time consumption is 0.20088983, batch_loss is 0.88550562
classify loss is 0.30880457, angle loss is 0.00783031, iou loss is 0.55078101
Epoch is [44/600], mini-batch is [11/27], time consumption is 0.20613432, batch_loss is 0.93788868
classify loss is 0.33445346, angle loss is 0.00481486, iou loss is 0.49034935
Epoch is [44/600], mini-batch is [12/27], time consumption is 0.20627356, batch_loss is 0.87295145
classify loss is 0.22728682, angle loss is 0.00392869, iou loss is 0.46091968
Epoch is [44/600], mini-batch is [13/27], time consumption is 0.20589399, batch_loss is 0.72749341
classify loss is 0.36306626, angle loss is 0.00558005, iou loss is 0.66877252
Epoch is [44/600], mini-batch is [14/27], time consumption is 0.20269465, batch_loss is 1.08763933
classify loss is 0.38139564, angle loss is 0.00566451, iou loss is 0.55257088
Epoch is [44/600], mini-batch is [15/27], time consumption is 0.20120883, batch_loss is 0.99061155
classify loss is 0.42013985, angle loss is 0.01022585, iou loss is 0.68911850
Epoch is [44/600], mini-batch is [16/27], time consumption is 0.20571709, batch_loss is 1.21151686
classify loss is 0.34359884, angle loss is 0.01017692, iou loss is 0.50624114
Epoch is [44/600], mini-batch is [17/27], time consumption is 0.20594740, batch_loss is 0.95160913
classify loss is 0.40991920, angle loss is 0.00653218, iou loss is 0.53716987
Epoch is [44/600], mini-batch is [18/27], time consumption is 0.20454264, batch_loss is 1.01241088
classify loss is 0.25148851, angle loss is 0.00585163, iou loss is 0.48373562
Epoch is [44/600], mini-batch is [19/27], time consumption is 0.20054936, batch_loss is 0.79374045
classify loss is 0.47713023, angle loss is 0.00755878, iou loss is 0.71479958
Epoch is [44/600], mini-batch is [20/27], time consumption is 0.20208979, batch_loss is 1.26751757
classify loss is 0.34574980, angle loss is 0.00856555, iou loss is 0.61874056
Epoch is [44/600], mini-batch is [21/27], time consumption is 0.20351410, batch_loss is 1.05014586
classify loss is 0.33041757, angle loss is 0.00308635, iou loss is 0.58155340
Epoch is [44/600], mini-batch is [22/27], time consumption is 0.20172191, batch_loss is 0.94283444
classify loss is 0.37589121, angle loss is 0.02022423, iou loss is 0.71971655
Epoch is [44/600], mini-batch is [23/27], time consumption is 0.20575285, batch_loss is 1.29785013
classify loss is 0.28707558, angle loss is 0.00786456, iou loss is 0.57530922
Epoch is [44/600], mini-batch is [24/27], time consumption is 0.20562053, batch_loss is 0.94103044
classify loss is 0.42099130, angle loss is 0.01296468, iou loss is 0.53263980
Epoch is [44/600], mini-batch is [25/27], time consumption is 0.20186329, batch_loss is 1.08327794
classify loss is 0.34420127, angle loss is 0.01017761, iou loss is 0.53957111
Epoch is [44/600], mini-batch is [26/27], time consumption is 0.19988680, batch_loss is 0.98554850
classify loss is 0.31138611, angle loss is 0.00315649, iou loss is 0.60574007
Epoch is [44/600], mini-batch is [27/27], time consumption is 0.19821072, batch_loss is 0.94869101
epoch_loss is 1.00566417, epoch_time is 20.42668414
Mon May 23 16:28:44 2022
==================================================
classify loss is 0.26795375, angle loss is 0.00544392, iou loss is 0.44070384
Epoch is [45/600], mini-batch is [1/27], time consumption is 0.21664000, batch_loss is 0.76309681
classify loss is 0.41623265, angle loss is 0.01593455, iou loss is 0.89303654
Epoch is [45/600], mini-batch is [2/27], time consumption is 0.22196913, batch_loss is 1.46861482
classify loss is 0.32806647, angle loss is 0.00583510, iou loss is 0.52032328
Epoch is [45/600], mini-batch is [3/27], time consumption is 0.22153163, batch_loss is 0.90674078
classify loss is 0.31587422, angle loss is 0.00609055, iou loss is 0.54939544
Epoch is [45/600], mini-batch is [4/27], time consumption is 0.21340561, batch_loss is 0.92617518
classify loss is 0.38229126, angle loss is 0.01175608, iou loss is 0.61285967
Epoch is [45/600], mini-batch is [5/27], time consumption is 0.20386291, batch_loss is 1.11271179
classify loss is 0.29045403, angle loss is 0.00441347, iou loss is 0.41405749
Epoch is [45/600], mini-batch is [6/27], time consumption is 0.20453644, batch_loss is 0.74864614
classify loss is 0.37990654, angle loss is 0.00465724, iou loss is 0.56279624
Epoch is [45/600], mini-batch is [7/27], time consumption is 0.20561862, batch_loss is 0.98927516
classify loss is 0.29970461, angle loss is 0.00498282, iou loss is 0.56598252
Epoch is [45/600], mini-batch is [8/27], time consumption is 0.20241022, batch_loss is 0.91551530
classify loss is 0.41622013, angle loss is 0.00568604, iou loss is 0.50342584
Epoch is [45/600], mini-batch is [9/27], time consumption is 0.19882441, batch_loss is 0.97650641
classify loss is 0.40264696, angle loss is 0.00744297, iou loss is 0.60893291
Epoch is [45/600], mini-batch is [10/27], time consumption is 0.20020556, batch_loss is 1.08600950
classify loss is 0.37809592, angle loss is 0.00359566, iou loss is 0.44388002
Epoch is [45/600], mini-batch is [11/27], time consumption is 0.20149708, batch_loss is 0.85793257
classify loss is 0.31166196, angle loss is 0.00405949, iou loss is 0.45974052
Epoch is [45/600], mini-batch is [12/27], time consumption is 0.20202708, batch_loss is 0.81199741
classify loss is 0.29047281, angle loss is 0.00414365, iou loss is 0.51537198
Epoch is [45/600], mini-batch is [13/27], time consumption is 0.20435214, batch_loss is 0.84728128
classify loss is 0.26830083, angle loss is 0.00338966, iou loss is 0.46403062
Epoch is [45/600], mini-batch is [14/27], time consumption is 0.20080066, batch_loss is 0.76622808
classify loss is 0.41638720, angle loss is 0.01217811, iou loss is 0.60838884
Epoch is [45/600], mini-batch is [15/27], time consumption is 0.20404792, batch_loss is 1.14655709
classify loss is 0.35920984, angle loss is 0.00259024, iou loss is 0.49747172
Epoch is [45/600], mini-batch is [16/27], time consumption is 0.20208549, batch_loss is 0.88258398
classify loss is 0.35346073, angle loss is 0.00288589, iou loss is 0.59989893
Epoch is [45/600], mini-batch is [17/27], time consumption is 0.20400429, batch_loss is 0.98221862
classify loss is 0.33052284, angle loss is 0.00401241, iou loss is 0.56109524
Epoch is [45/600], mini-batch is [18/27], time consumption is 0.20392013, batch_loss is 0.93174213
classify loss is 0.33180517, angle loss is 0.00491578, iou loss is 0.61128962
Epoch is [45/600], mini-batch is [19/27], time consumption is 0.20425296, batch_loss is 0.99225259
classify loss is 0.36560076, angle loss is 0.00295072, iou loss is 0.66630375
Epoch is [45/600], mini-batch is [20/27], time consumption is 0.21230936, batch_loss is 1.06141162
classify loss is 0.28467971, angle loss is 0.01496288, iou loss is 0.49068412
Epoch is [45/600], mini-batch is [21/27], time consumption is 0.20162153, batch_loss is 0.92499268
classify loss is 0.30451727, angle loss is 0.00365607, iou loss is 0.45607778
Epoch is [45/600], mini-batch is [22/27], time consumption is 0.20269799, batch_loss is 0.79715574
classify loss is 0.34748805, angle loss is 0.00517410, iou loss is 0.60873544
Epoch is [45/600], mini-batch is [23/27], time consumption is 0.20081258, batch_loss is 1.00796449
classify loss is 0.31849670, angle loss is 0.00730050, iou loss is 0.52685910
Epoch is [45/600], mini-batch is [24/27], time consumption is 0.20092845, batch_loss is 0.91836077
classify loss is 0.34528846, angle loss is 0.00756476, iou loss is 0.50823361
Epoch is [45/600], mini-batch is [25/27], time consumption is 0.19910002, batch_loss is 0.92916971
classify loss is 0.33031887, angle loss is 0.00344367, iou loss is 0.43646324
Epoch is [45/600], mini-batch is [26/27], time consumption is 0.20095778, batch_loss is 0.80121887
classify loss is 0.31106120, angle loss is 0.00796731, iou loss is 0.46069145
Epoch is [45/600], mini-batch is [27/27], time consumption is 0.19991636, batch_loss is 0.85142577
epoch_loss is 0.94088094, epoch_time is 20.30907941
Mon May 23 16:29:04 2022
==================================================
classify loss is 0.32182217, angle loss is 0.00452194, iou loss is 0.43773592
Epoch is [46/600], mini-batch is [1/27], time consumption is 0.21019030, batch_loss is 0.80477744
classify loss is 0.25699610, angle loss is 0.00359365, iou loss is 0.50877529
Epoch is [46/600], mini-batch is [2/27], time consumption is 0.19865203, batch_loss is 0.80170792
classify loss is 0.31299567, angle loss is 0.00398562, iou loss is 0.57112664
Epoch is [46/600], mini-batch is [3/27], time consumption is 0.20176029, batch_loss is 0.92397851
classify loss is 0.39579397, angle loss is 0.01392836, iou loss is 0.54837686
Epoch is [46/600], mini-batch is [4/27], time consumption is 0.20105433, batch_loss is 1.08345437
classify loss is 0.55090356, angle loss is 0.00883608, iou loss is 0.85677671
Epoch is [46/600], mini-batch is [5/27], time consumption is 0.20650172, batch_loss is 1.49604106
classify loss is 0.31836271, angle loss is 0.00312591, iou loss is 0.51136065
Epoch is [46/600], mini-batch is [6/27], time consumption is 0.20099282, batch_loss is 0.86098242
classify loss is 0.32634002, angle loss is 0.00606681, iou loss is 0.64385730
Epoch is [46/600], mini-batch is [7/27], time consumption is 0.20179367, batch_loss is 1.03086543
classify loss is 0.35185242, angle loss is 0.01650259, iou loss is 0.55470610
Epoch is [46/600], mini-batch is [8/27], time consumption is 0.20060635, batch_loss is 1.07158446
classify loss is 0.34575969, angle loss is 0.00325209, iou loss is 0.61910063
Epoch is [46/600], mini-batch is [9/27], time consumption is 0.20593429, batch_loss is 0.99738127
classify loss is 0.26531297, angle loss is 0.00398518, iou loss is 0.57109469
Epoch is [46/600], mini-batch is [10/27], time consumption is 0.20184302, batch_loss is 0.87625945
classify loss is 0.36862820, angle loss is 0.00369262, iou loss is 0.40415826
Epoch is [46/600], mini-batch is [11/27], time consumption is 0.20337534, batch_loss is 0.80971265
classify loss is 0.48049182, angle loss is 0.00547334, iou loss is 0.63460529
Epoch is [46/600], mini-batch is [12/27], time consumption is 0.20142555, batch_loss is 1.16983044
classify loss is 0.31937587, angle loss is 0.01675304, iou loss is 0.55894190
Epoch is [46/600], mini-batch is [13/27], time consumption is 0.20517540, batch_loss is 1.04584825
classify loss is 0.39324623, angle loss is 0.00399564, iou loss is 0.51641357
Epoch is [46/600], mini-batch is [14/27], time consumption is 0.20062613, batch_loss is 0.94961619
classify loss is 0.34447056, angle loss is 0.00414186, iou loss is 0.69780731
Epoch is [46/600], mini-batch is [15/27], time consumption is 0.20431328, batch_loss is 1.08369637
classify loss is 0.26355350, angle loss is 0.01860334, iou loss is 0.44969401
Epoch is [46/600], mini-batch is [16/27], time consumption is 0.20336723, batch_loss is 0.89928091
classify loss is 0.34293002, angle loss is 0.00848944, iou loss is 0.65329361
Epoch is [46/600], mini-batch is [17/27], time consumption is 0.20683837, batch_loss is 1.08111811
classify loss is 0.30089766, angle loss is 0.00738528, iou loss is 0.51629674
Epoch is [46/600], mini-batch is [18/27], time consumption is 0.20264173, batch_loss is 0.89104718
classify loss is 0.31797785, angle loss is 0.00493115, iou loss is 0.54739434
Epoch is [46/600], mini-batch is [19/27], time consumption is 0.20260954, batch_loss is 0.91468364
classify loss is 0.31731313, angle loss is 0.01007295, iou loss is 0.55223602
Epoch is [46/600], mini-batch is [20/27], time consumption is 0.20194983, batch_loss is 0.97027868
classify loss is 0.36540103, angle loss is 0.00451388, iou loss is 0.48208076
Epoch is [46/600], mini-batch is [21/27], time consumption is 0.20196438, batch_loss is 0.89262062
classify loss is 0.32419908, angle loss is 0.00403307, iou loss is 0.69004619
Epoch is [46/600], mini-batch is [22/27], time consumption is 0.20310497, batch_loss is 1.05457604
classify loss is 0.29637200, angle loss is 0.00368138, iou loss is 0.59892488
Epoch is [46/600], mini-batch is [23/27], time consumption is 0.20015764, batch_loss is 0.93211061
classify loss is 0.35574019, angle loss is 0.00422195, iou loss is 0.53608328
Epoch is [46/600], mini-batch is [24/27], time consumption is 0.20296764, batch_loss is 0.93404299
classify loss is 0.31575567, angle loss is 0.00388860, iou loss is 0.51705354
Epoch is [46/600], mini-batch is [25/27], time consumption is 0.20240498, batch_loss is 0.87169516
classify loss is 0.55206686, angle loss is 0.00816801, iou loss is 0.52458048
Epoch is [46/600], mini-batch is [26/27], time consumption is 0.20225096, batch_loss is 1.15832734
classify loss is 0.32265162, angle loss is 0.00675450, iou loss is 0.49375674
Epoch is [46/600], mini-batch is [27/27], time consumption is 0.20321965, batch_loss is 0.88395333
epoch_loss is 0.98109151, epoch_time is 20.52422667
Mon May 23 16:29:25 2022
==================================================
classify loss is 0.30500740, angle loss is 0.00490357, iou loss is 0.42096215
Epoch is [47/600], mini-batch is [1/27], time consumption is 0.20692253, batch_loss is 0.77500522
classify loss is 0.40913713, angle loss is 0.00858747, iou loss is 0.59321606
Epoch is [47/600], mini-batch is [2/27], time consumption is 0.20967460, batch_loss is 1.08822787
classify loss is 0.26758134, angle loss is 0.00640077, iou loss is 0.47464713
Epoch is [47/600], mini-batch is [3/27], time consumption is 0.20092869, batch_loss is 0.80623621
classify loss is 0.34139889, angle loss is 0.00639221, iou loss is 0.54939049
Epoch is [47/600], mini-batch is [4/27], time consumption is 0.20346260, batch_loss is 0.95471150
classify loss is 0.49768198, angle loss is 0.01733207, iou loss is 0.73928154
Epoch is [47/600], mini-batch is [5/27], time consumption is 0.20140457, batch_loss is 1.41028416
classify loss is 0.35224241, angle loss is 0.01693575, iou loss is 0.48709527
Epoch is [47/600], mini-batch is [6/27], time consumption is 0.20202661, batch_loss is 1.00869513
classify loss is 0.27561873, angle loss is 0.00324280, iou loss is 0.44376209
Epoch is [47/600], mini-batch is [7/27], time consumption is 0.20131016, batch_loss is 0.75180882
classify loss is 0.35713059, angle loss is 0.00524504, iou loss is 0.59069020
Epoch is [47/600], mini-batch is [8/27], time consumption is 0.20221162, batch_loss is 1.00027120
classify loss is 0.33147609, angle loss is 0.00678597, iou loss is 0.54142588
Epoch is [47/600], mini-batch is [9/27], time consumption is 0.20461369, batch_loss is 0.94076174
classify loss is 0.27459258, angle loss is 0.00343604, iou loss is 0.50672734
Epoch is [47/600], mini-batch is [10/27], time consumption is 0.20841360, batch_loss is 0.81568033
classify loss is 0.27152330, angle loss is 0.00504197, iou loss is 0.49784666
Epoch is [47/600], mini-batch is [11/27], time consumption is 0.20240068, batch_loss is 0.81978965
classify loss is 0.51066911, angle loss is 0.00841513, iou loss is 0.57692456
Epoch is [47/600], mini-batch is [12/27], time consumption is 0.20541668, batch_loss is 1.17174506
classify loss is 0.28607708, angle loss is 0.00548852, iou loss is 0.49331453
Epoch is [47/600], mini-batch is [13/27], time consumption is 0.20069051, batch_loss is 0.83427680
classify loss is 0.30901313, angle loss is 0.00343227, iou loss is 0.54213834
Epoch is [47/600], mini-batch is [14/27], time consumption is 0.20125580, batch_loss is 0.88547421
classify loss is 0.26646173, angle loss is 0.00600463, iou loss is 0.46374232
Epoch is [47/600], mini-batch is [15/27], time consumption is 0.20509577, batch_loss is 0.79025030
classify loss is 0.32250798, angle loss is 0.01164153, iou loss is 0.51017421
Epoch is [47/600], mini-batch is [16/27], time consumption is 0.20509386, batch_loss is 0.94909751
classify loss is 0.40159166, angle loss is 0.00883803, iou loss is 0.65025902
Epoch is [47/600], mini-batch is [17/27], time consumption is 0.20711875, batch_loss is 1.14023101
classify loss is 0.31249428, angle loss is 0.00784548, iou loss is 0.48253644
Epoch is [47/600], mini-batch is [18/27], time consumption is 0.20490003, batch_loss is 0.87348551
classify loss is 0.34121120, angle loss is 0.01336932, iou loss is 0.58178389
Epoch is [47/600], mini-batch is [19/27], time consumption is 0.20195007, batch_loss is 1.05668831
classify loss is 0.37422979, angle loss is 0.00815088, iou loss is 0.57727510
Epoch is [47/600], mini-batch is [20/27], time consumption is 0.20119953, batch_loss is 1.03301370
classify loss is 0.31960922, angle loss is 0.00353506, iou loss is 0.47196656
Epoch is [47/600], mini-batch is [21/27], time consumption is 0.20893192, batch_loss is 0.82692635
classify loss is 0.28894109, angle loss is 0.01027833, iou loss is 0.61454153
Epoch is [47/600], mini-batch is [22/27], time consumption is 0.20542860, batch_loss is 1.00626588
classify loss is 0.34020406, angle loss is 0.00468283, iou loss is 0.56388140
Epoch is [47/600], mini-batch is [23/27], time consumption is 0.20229769, batch_loss is 0.95091379
classify loss is 0.45611745, angle loss is 0.02049976, iou loss is 0.55324048
